X,Y,OBJECTID,MeterLoc,HOURS,RATE,DAYS,WRM,ZONEID,ZONEDESC,Notes,FACILITYID,Active,BlockNumber,BlockStreet,Enforcement_Zone,Enforcement_Time,Enforcement_Days,MAX_TIME,NO_MAX,NO_CHARGE_1,NO_PARKING,NO_CHARGE_2
-9822327.40910577,4882292.41177499,1,624,14,0.75,6,63,CP75,CAMPUS $.75/HR,,1,Yes,500,500 S Third St,3,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-9822317.04959963,4882696.08124157,2,617,14,0.75,6,63,CP75,CAMPUS $.75/HR,,2,Yes,200,200 S Third St,2,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-9822327.37494088,4882272.83336435,3,626,14,0.75,6,63,CP75,CAMPUS $.75/HR,,3,Yes,500,500 S Third St,3,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-9822327.15359756,4882256.88458989,4,628,14,0.75,6,63,CP75,CAMPUS $.75/HR,,4,Yes,500,500 S Third St,3,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-9822326.80874217,4882240.8047437,5,630,14,0.75,6,63,CP75,CAMPUS $.75/HR,,5,Yes,500,500 S Third St,3,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-9822326.93326667,4882221.31142544,6,632,14,0.75,6,63,CP75,CAMPUS $.75/HR,,6,Yes,500,500 S Third St,3,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-9822327.22858634,4882202.65050106,7,634,14,0.75,6,63,CP75,CAMPUS $.75/HR,,7,Yes,500,500 S Third St,3,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-9822326.973817,4882185.98722416,8,636,14,0.75,6,63,CP75,CAMPUS $.75/HR,,8,Yes,500,500 S Third St,3,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-9822272.06530311,4881276.44144252,9,0334,14,0.75,6,63,CP75,CAMPUS $.75/HR,,9,Yes,300,300 E Armory Ave,5,,,10 hr max,,No Charge 9PM - 7AM,,
-9822640.34075253,4881273.37903269,10,0338,14,0.75,6,63,CP75,CAMPUS $.75/HR,,10,Yes,100,100 E Armory Ave,5,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-9822679.22394985,4881685.67855479,11,0223,14,0.75,6,63,CP75,CAMPUS $.75/HR,,11,Yes,800,800 S First St,3,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-9822679.59705058,4881738.92364926,12,0226,14,0.75,6,63,CP75,CAMPUS $.75/HR,,12,Yes,800,800 S First St,3,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-9822679.36666682,4881755.59666625,13,0228,14,0.75,6,63,CP75,CAMPUS $.75/HR,,13,Yes,800,800 S First St,3,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-9822506.41621297,4881937.95502892,14,9201,14,0.75,6,63,CP75,CAMPUS $.75/HR,,14,Yes,700,700 S Second St,4,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-9822506.23562508,4881922.33652105,15,9203,14,0.75,6,63,CP75,CAMPUS $.75/HR,,15,Yes,700,700 S Second St,4,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-9822506.49313865,4881852.18853932,16,9206,14,0.75,6,63,CP75,CAMPUS $.75/HR,,16,Yes,700,700 S Second St,4,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-9822506.62023939,4881836.27188454,17,9208,14,0.75,6,63,CP75,CAMPUS $.75/HR,,17,Yes,700,700 S Second St,4,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-9822837.79141282,4881270.69507453,18,0129,14,0.75,6,63,CP75,CAMPUS $.75/HR,,18,Yes,50,50 E Armory Ave,3,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-9822974.23556533,4881269.2716617,19,0127,14,0.75,6,63,CP75,CAMPUS $.75/HR,,19,Yes,30,30 E Armory Ave,3,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-9822824.67591193,4881437.76506702,20,0124,14,0.75,6,63,CP75,CAMPUS $.75/HR,,20,Yes,50,50 Chalmers St,3,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-9822979.4918433,4881429.5408873,21,0126,14,0.75,6,63,CP75,CAMPUS $.75/HR,,21,Yes,30,30 Chalmers St,3,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-9822898.1373619,4881630.81444425,22,0120,14,0.75,6,63,CP75,CAMPUS $.75/HR,,22,Yes,30,30 E Daniel St,3,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-9822723.68373518,4881632.51552214,23,0121,14,0.75,6,63,CP75,CAMPUS $.75/HR,,23,Yes,70,50 E Daniel St,3,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-9822837.45957857,4881798.79223737,24,0117,14,0.75,6,63,CP75,CAMPUS $.75/HR,,24,Yes,40,50 E John St,3,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-9823006.52060073,4881457.92010856,25,0112,14,0.75,6,63,CP75,CAMPUS $.75/HR,,25,Yes,900,900 S Oak St,3,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-9823005.13941776,4881282.79294729,26,0110,14,0.75,6,63,CP75,CAMPUS $.75/HR,,26,Yes,1000,1000 S Oak St,3,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-9821728.94994147,4882444.84533959,27,0534,14,0.75,6,63,CP75,CAMPUS $.75/HR,,27,Yes,600,600 Stoughton St,2,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-9821916.9915716,4882443.98813578,28,0532,14,0.75,6,63,CP75,CAMPUS $.75/HR,,28,Yes,500,500 Stoughton St,2,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-9822065.42899928,4882442.5543063,29,0530,14,0.75,6,63,CP75,CAMPUS $.75/HR,,29,Yes,400,400 Stoughton St,2,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
-9821633.09797495,4882165.04856074,30,7621,14,0.75,6,63,CP75,CAMPUS $.75/HR,,30,Yes,600,600 E Healey St,3,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-9821649.47608887,4882164.52009777,31,7619,14,0.75,6,63,CP75,CAMPUS $.75/HR,,31,Yes,600,600 E Healey St,3,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-9821668.3393214,4882164.6676706,32,7617,14,0.75,6,63,CP75,CAMPUS $.75/HR,,32,Yes,600,600 E Healey St,3,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-9821712.79226551,4882164.18755593,33,7614,14,0.75,6,63,CP75,CAMPUS $.75/HR,,33,Yes,600,600 E Healey St,3,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-9821729.99272431,4882163.78694595,34,7612,14,0.75,6,63,CP75,CAMPUS $.75/HR,,34,Yes,600,600 E Healey St,3,7:00 AM - 21:00 PM,Monday - Saturday,2 hr max in 3 hr period,,No Charge 9PM - 7AM,,
-9822086.88665484,4882151.86352842,35,7706,14,0.75,6,63,CP75,CAMPUS $.75/HR,,35,Yes,400,400 E Healey St,3,,,10 hr max,,No Charge 9PM - 3AM,"No Parking 3AM - 5 AM, 7 days per wk",No Charge 5AM - 8AM
-9822478.69906596,4882147.79927897,36,0540,14,0.75,6,63,CP75,CAMPUS $.75/HR,,36,Yes,200,200 E Healey St,3,7:00 AM - 21:00 PM,Monday - Saturday,10 hr max,,No Charge 9PM - 7AM,,
