X,Y,OBJECTID,Sign_Type,Size_,Supplement,Sign_Post,Year_Insta,Category,Notes,MUTCD,Ownership,FACILITYID,Schools,Location_Adjusted,Replacement_Zone,Sign_Text,Set_ID,FieldVerifiedDate,GlobalID
-9823784.37031153,4881785.910006,6001,MTD Bus Stop,"12"" X 18""", ,Punched Telespar, ,MTD, ,N/A,MTD,6459,,AERIAL,G,,4613,,{3889CB24-2F1B-4ADD-8FD8-7EC606CFDD6E}
-9823592.75185724,4881493.3729473,6002,MTD Bus Stop,"12"" X 18""", ,Punched Telespar, ,MTD, ,N/A,MTD,6460,,AERIAL,G,,4614,,{20BBF5AB-82E8-4462-A89E-8539E1B26D14}
-9828754.21026567,4876952.29900342,6003,Stop,"30""", ,Punched Telespar, ,Regulatory,2010,R1-1,Champaign,6461,,AERIAL,E,,4615,,{367C90E0-1CCA-455B-8DFF-8B0C246DB9CB}
-9828381.30404994,4876863.01741052,6004,Stop,"30""", ,Punched Telespar,2010,Regulatory, ,R1-1,Champaign,6462,,AERIAL,E,,4616,,{11395116-A283-487F-BBFD-A581DA511165}
-9828255.52833026,4876847.07526003,6005,Stop,"30""", ,Punched Telespar,2010,Regulatory, ,R1-1,Champaign,6463,,AERIAL,E,,4617,,{0D7193B1-7F4D-440F-BF67-E20B2387D978}
-9828241.89517653,4876817.2597913,6006,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,6464,,AERIAL,E,,4618,,{7569CB09-F87D-4178-886C-EFA35E917141}
-9827909.69746505,4876221.32272243,6007,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,6465,,AERIAL,E,,4619,,{D26F31E0-39A7-417D-824B-CEEA61B0CE93}
-9827879.19232565,4876234.78174495,6008,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,6466,,AERIAL,E,,4620,,{AEA4B626-700B-4F1F-AC52-FC47A079674C}
-9827900.09728913,4876045.8581366,6009,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,6467,,AERIAL,E,,4621,,{10DF116C-C4FC-4E37-9B92-E4E032E7ABEE}
-9823825.17238226,4880232.03370402,6010,Stop,"30""", ,Punched Telespar, ,Regulatory, ,R1-1,Champaign,6468,,AERIAL,G,,4501,,{DC0C5CF3-C0C6-456E-BE3B-8EE59996172D}
-9824295.87869424,4881064.84458466,6011,Stop,"30""", ,Unpunched Telespar, ,Regulatory, ,R1-1,Champaign,6469,,AERIAL,G,,4622,,{CFB68038-8832-4622-8715-27FC74FB74E4}
-9824413.8573822,4881131.62890576,6012,Stop,"30""", ,Punched Telespar, ,Regulatory,,R1-1,Champaign,6470,,AERIAL,G,,4623,,{75A7DA9B-412F-43D0-953F-8EE4FD298E2B}
-9824396.11655669,4881812.7606549,6013,Stop,"30""",All-way,Punched Telespar,2014,Regulatory, ,R1-1,Champaign,6471,,AERIAL,G,,4624,,{D0DB36D8-DCB9-4648-B6D3-D8C34C3C8D0E}
-9824272.02012958,4881783.37534848,6014,Stop,"30""", ,Unpunched Telespar, ,Regulatory, ,R1-1,Champaign,6472,,AERIAL,G,,4503,,{3B62141D-8128-41D1-A7DF-650C3D8D4F2C}
-9824142.73674548,4881811.1556704,6015,Stop,"30""", ,Unpunched Telespar, ,Regulatory, ,R1-1,Champaign,6473,,AERIAL,G,,4625,,{1ADE229E-A858-4387-BE19-A0B00C443228}
-9824130.28651982,4881782.44358609,6016,Stop,"30""", ,Punched Telespar,2012,Regulatory, ,R1-1,Champaign,6474,,AERIAL,G,,4504,,{E39090F3-B50E-405A-928F-1281925F06C1}
-9823958.07050954,4881808.66212883,6017,Stop,"30""", ,Unpunched Telespar, ,Regulatory, ,R1-1,Champaign,6475,,AERIAL,G,,4505,,{D44F956E-260A-432D-9EEF-7F029223B998}
-9823970.64807909,4881471.95254866,6018,Stop,"30""", ,Unpunched Telespar, ,Regulatory, ,R1-1,Champaign,6476,,AERIAL,G,,4506,,{1ED939AF-FE30-49D9-B317-E7CC60F56A88}
-9823930.27676938,4881212.16462775,6019,Stop,"30""", ,Punched Telespar, ,Regulatory, ,R1-1,Champaign,6477,,AERIAL,G,,4626,,{C1A53EAC-B3BA-4A46-B3D0-DABBF50B7656}
-9823762.25063436,4881463.93924375,6020,Stop,"30""", ,Punched Telespar, ,Regulatory, ,R1-1,Champaign,6478,,AERIAL,G,,4558,,{FA3476A7-D40C-49B3-8361-4BCB13DFFE76}
-9823764.32892759,4881781.41488212,6021,Stop,"30""", ,Punched Telespar, ,Regulatory, ,R1-1,Champaign,6479,,AERIAL,G,,4559,,{6E8FBBD5-BB91-4B40-9732-E03437B1BE1A}
-9823764.63967628,4881946.23720379,6022,Stop,"30""", ,Unpunched Telespar, ,Regulatory, ,R1-1,Champaign,6480,,AERIAL,G,,4561,,{26EC25F6-CA53-4906-A166-7F59F87AC16A}
-9823766.26666968,4882171.68628282,6023,Stop,"30""", ,Punched Telespar, ,Regulatory, ,R1-1,Champaign,6481,,AERIAL,G,,4507,,{4FCEC4A9-5ADB-475F-AD2F-A883B17DB13C}
-9823567.16520576,4881484.41456754,6024,Stop,"30""", ,Punched Telespar,2013,Regulatory, ,R1-1,Champaign,6482,,AERIAL,G,,4627,,{2C74D886-88EF-49B3-80E9-E00D8019E315}
-9823569.98564515,4882188.79501301,6025,Stop,"30""", ,Punched Telespar, ,Regulatory, ,R1-1,Champaign,6483,,AERIAL,G,,4628,,{AF6BC180-6FF0-4C12-AEB5-BEC993F94B46}
-9823604.00164025,4882176.17219975,6026,Stop,"30""", ,Punched Telespar, ,Regulatory, ,R1-1,Champaign,6484,,AERIAL,G,,4513,,{77F4E071-6E01-40BF-8E89-188273563201}
-9822661.31654748,4879662.68724892,6027,Stop,"30""",4-Way,Streetlight, ,Regulatory,,R1-1,Champaign,6485,,AERIAL,F,,4629,,{176B7F13-D19B-404B-B8F7-D26554FA1344}
-9823602.24289376,4881785.89054487,6028,Stop,"30""",Cross Traffic Does Not Stop,Punched Telespar, ,Regulatory, ,R1-1,Champaign,6486,,AERIAL,G,,4585,,{93DBD4DC-2A00-4C0B-9FDE-4F0219379787}
-9823598.81638651,4881470.77419801,6029,Stop,"30""", ,Punched Telespar,2013,Regulatory, ,R1-1,Champaign,6487,,AERIAL,G,,4517,,{21973706-7EAC-44A5-B3CB-4B4920042D46}
-9823594.90144518,4881198.34269029,6030,Stop,"30""", ,Punched Telespar, ,Regulatory, ,R1-1,Champaign,6488,,AERIAL,G,,4518,,{AF0056FF-E0FF-41EF-9D9D-24E06E38F2CD}
-9823567.07375424,4881211.05366733,6031,Stop,"30""", ,Punched Telespar, ,Regulatory, ,R1-1,Champaign,6489,,AERIAL,G,,4588,,{3EC186E3-F9AB-4A56-884D-75387DC5D252}
-9823593.71809622,4881074.7893715,6032,Stop,"30""", ,Punched Telespar, ,Regulatory, ,R1-1,Champaign,6490,,AERIAL,G,,4519,,{E793B72C-C3A2-4FB2-AA2C-7E33995AD437}
-9823564.36286848,4881087.41336203,6033,Stop,"30""", ,Punched Telespar, ,Regulatory, ,R1-1,Champaign,6491,,AERIAL,G,,4630,,{DF6FFA44-F2DF-469A-8CBE-C0317C7F9CE1}
-9823412.79030296,4881073.00094044,6034,Stop,"30""", ,Punched Telespar, ,Regulatory, ,R1-1,Champaign,6492,,AERIAL,G,,4631,,{ACEAADA8-A2CE-44B8-ACD4-D73C52D84272}
-9823380.32903074,4881098.8271407,6035,Stop,"30""", ,Punched Telespar, ,Regulatory, ,R1-1,Champaign,6493,,AERIAL,G,,4520,,{13D8EC2E-6092-4FAF-B469-5F10EE88F8B7}
-9823249.19621615,4881084.08494834,6036,Stop,"30""", ,Punched Telespar, ,Regulatory, ,R1-1,Champaign,6494,,AERIAL,G,,4632,,{50D3967B-8A33-4E1F-8EF1-D55333A34590}
